Rank,Athlete,Group,Bodyweight,1,2,3,Result,1.1,2.1,3.1,Result.1,Total,Year,Nation
,Marcus Stephen (NRU),A,58.88,120.0,120.0,120.0,–,–,–,–,–,–,1996,
,Hafiz Suleymanoglu (TUR),A,58.9,130.0,135.0,137.5,135.0,157.5,157.5,160.0,–,–,1996,
1.0,Naim Süleymanoğlu (TUR),A,63.9,145.0,147.5,147.5,147.5,180.0,185.0,187.5,187.5,335.0,1996,
2.0,Valerios Leonidis (GRE),A,63.22,140.0,145.0,147.5,145.0,180.0,187.5,190.0,187.5,332.5,1996,
3.0,Xiao Jiangang (CHN),A,63.15,140.0,145.0,145.0,145.0,170.0,177.5,177.5,177.5,322.5,1996,
4.0,Georgios Tzelilis (GRE),A,63.5,137.5,142.5,145.0,145.0,172.5,177.5,180.0,177.5,322.5,1996,
5.0,Adrián Popa (HUN),A,63.93,130.0,135.0,137.5,135.0,167.5,172.5,172.5,172.5,307.5,1996,
6.0,Ilian Iliev (BUL),A,63.9,137.5,137.5,142.5,142.5,162.5,167.5,167.5,162.5,305.0,1996,
7.0,Mücahit Yağci (TUR),B,63.46,130.0,135.0,137.5,135.0,162.5,167.5,170.0,167.5,302.5,1996,
8.0,Zoltán Kecskés (HUN),A,63.6,130.0,135.0,137.5,135.0,162.5,167.5,170.0,167.5,302.5,1996,
9.0,Petar Petrov (BUL),A,63.68,140.0,145.0,145.0,140.0,160.0,165.0,165.0,160.0,300.0,1996,
10.0,Yoshihisa Miyaji (JPN),B,63.63,135.0,140.0,142.5,140.0,152.5,157.5,157.5,157.5,297.5,1996,
11.0,Umar Edelkhanov (RUS),B,63.9,132.5,137.5,137.5,132.5,162.5,162.5,162.5,162.5,295.0,1996,
12.0,Eduard Darbinyan (ARM),A,63.61,132.5,132.5,132.5,132.5,160.0,160.0,167.5,160.0,292.5,1996,
13.0,Hwang Hui-yeol (KOR),A,63.88,127.5,132.5,132.5,132.5,157.5,160.0,162.5,160.0,292.5,1996,
14.0,Liao Hsing-Chou (TPE),B,63.74,125.0,130.0,130.0,125.0,160.0,165.0,167.5,165.0,290.0,1996,
15.0,Masato Tachibana (JPN),B,63.63,125.0,130.0,130.0,125.0,155.0,162.5,165.0,162.5,287.5,1996,
16.0,Aleksandr Okhramenko (KAZ),C,63.65,122.5,122.5,127.5,127.5,155.0,160.0,165.0,160.0,287.5,1996,
17.0,Vladimir Popov (MDA),B,63.74,125.0,130.0,135.0,130.0,157.5,162.5,–,157.5,287.5,1996,
18.0,Marius Cihărean (ROU),B,63.9,130.0,130.0,130.0,130.0,155.0,155.0,160.0,155.0,285.0,1996,
19.0,Lucian Maxinianu (ROU),B,63.74,130.0,140.0,140.0,130.0,155.0,160.0,160.0,155.0,285.0,1996,
20.0,Gustavo Majauskas (ARG),C,63.99,120.0,125.0,125.0,125.0,155.0,160.0,160.0,160.0,285.0,1996,
21.0,Wojciech Natusiewicz (POL),B,63.62,122.5,122.5,125.0,122.5,160.0,165.0,165.0,160.0,282.5,1996,
